tweet,compound,sentiment
awww thats a bummer  you shoulda got david carr of third day to do it d,-0.3818,negatif
is upset that he cant update his facebook by texting it and might cry as a result  school today also blah,-0.7269,negatif
i dived many times for the ball managed to save   the rest go out of bounds,0.4939,positif
my whole body feels itchy and like its on fire,-0.25,negatif
no its not behaving at all im mad why am i here because i cant see you all over there,-0.6597,negatif
not the whole crew,0.0,neutre
need a hug,0.4767,positif
hey  long time no see yes rains a bit only a bit  lol  im fine thanks  hows you,0.4664,positif
nope they didnt have it,0.0,neutre
que me muera,0.0,neutre
spring break in plain city its snowing,0.0,neutre
i just repierced my ears,0.0,neutre
i couldnt bear to watch it  and i thought the ua loss was embarrassing,-0.5994,negatif
it it counts idk why i did either you never talk to me anymore,-0.1027,negatif
i wouldve been the first but i didnt have a gun    not really though zac snyders just a doucheclown,0.3724,positif
i wish i got to watch it with you i miss you and   how was the premiere,0.2732,positif
hollis death scene will hurt me severely to watch on film  wry is directors cut not out now,-0.9081,negatif
about to file taxes,0.0,neutre
ahh ive always wanted to see rent  love the soundtrack,0.6369,positif
oh dear were you drinking out of the forgotten table drinks,0.1779,positif
i was out most of the day so didnt get much done,0.0,neutre
one of my friend called me and asked to meet with her at mid valley todaybut ive no time sigh,0.2325,positif
i baked you a cake but i ated it,0.0,neutre
this week is not going as i had hoped,0.3818,positif
blagh class at  tomorrow,0.0,neutre
i hate when i have to call and wake people up,-0.5719,negatif
just going to cry myself to sleep after watching marley and me,-0.4767,negatif
im sad now  misslilly,-0.4767,negatif
ooooh lol  that leslie and ok i wont do it again so leslie wont  get mad again,0.7669,positif
meh almost lover is the exception this track gets me depressed every time,-0.024,neutre
some hacked my account on aim  now i have to make a new one,-0.4019,negatif
i want to go to promote gear and groove but unfornately no ride there  i may b going to the one in anaheim in may though,-0.2144,negatif
thought sleeping in was an option tomorrow but realizing that it now is not evaluations in the morning and work in the afternoon,0.0,neutre
awe i love you too  am here  i miss you,0.5574,positif
i cry my asian eyes to sleep at night,-0.4767,negatif
ok im sick and spent an hour sitting in the shower cause i was too sick to stand and held back the puke like a champ bed now,-0.4939,negatif
