tweet,sentiment,compound,positive,neutral,negative
"@ohboyitsfatima hahahah i loveee them on SNL, i pee myself everytime i watch it on youtube. and i know  it's because they're now busy.",neutre,0.0,0.0,1.0,0.0
@fatimahazzahra aww. that's okay!  guys who weigh 48 KG are kurus! :S i bet i WAS 48 KG. gotta hit the gym! |:,negatif,-0.5282,0.07,0.735,0.195
@FatimaAlgaoud chenna u ruined GA for the twit world! Includng meee! Why does sumone have to die at the end of every season ,negatif,-0.8217,0.0,0.735,0.265
@this_isfatima Ohhhhhh shit... I FAIL   No im better than that ball skinny nigga.,negatif,-0.9089,0.0,0.42,0.58
@Fatima_LP_Mike cool  what are u drawing/painting ?,positif,0.3182,0.277,0.723,0.0
"@QUEENFATIMA I thought I heard a little bird say something about you Benji and Floating Points, but guess nothing is final yet ",neutre,0.0,0.0,1.0,0.0
Hey FatiMAX. I'm sorry about our prim in FS if you don't like it. I made it quick with little effort. So you can change it if you want. ,negatif,-0.2755,0.042,0.847,0.111
@Fatima_Ali Finaly you upload it mmmmmmmm it was realy Yumiiiiiiiiii  I told my mother about it and she asked me to do it soon,neutre,0.0,0.0,1.0,0.0
@tweetypie08 Thank you! I am off to bed.  Goodnight Fatima! Sweet dreams! ,positif,0.8433,0.502,0.498,0.0
Delicious Food In Labuan: Warung Fatimah at Bukit KALAM..  SEDAP &amp; CEPAT!!!  http://tinyurl.com/lfocaq,positif,0.6784,0.276,0.724,0.0
"@FatimaControl @shotgunxsarah if i had a car I would so volunteer, I havent seen them since Reno 2007 ",neutre,0.0,0.0,1.0,0.0
@rainbowglow I'm supposed to be having dinner with @fffatima  no sure when though lol!!!,positif,0.4047,0.208,0.68,0.111
@ohboyitsfatima awh  well i'll take tons of pictures/videos for yaa ,positif,0.2732,0.189,0.811,0.0
"@ohboyitsfatima i would be watching that, but people don't care and are playing guitar hero world tour ",positif,0.5659,0.289,0.57,0.14
@dharmashakina I'll come to griya fatima if want to see an inspiration  http://myloc.me/3U7T,positif,0.5719,0.299,0.701,0.0
@efatima hey ....hw r u?? 1st ur ill...2nd quake.... ,neutre,0.0,0.0,1.0,0.0
@Fatima_LP_Mike yeah here's sunny too! summer is heree  and the LP concert is aproaching,positif,0.6476,0.306,0.694,0.0
@Fatima_Ali I was just kidding about the TV ,positif,0.1027,0.167,0.833,0.0
"@rehes yes! hand of fatima or hamsa. i am tryna start a collection. if you find one, great. if you don't, it's cool. just have FUN. ",positif,0.9241,0.384,0.563,0.053
"@FatimaUK Yes, I am.  But my actual daily amount is low, comparatively. Just necessary.",negatif,-0.2023,0.112,0.727,0.161
"@fatimaajmal Yeah, I'm backing them as well,Sri Lanka threw my team out in their last game  But they were my 2nd fav team anyway",positif,0.6858,0.241,0.759,0.0
@fatimadoyen Mom I miss you! ,negatif,-0.2244,0.0,0.679,0.321
@Fatima_Ali hahahhaha .. I hv to pace myself.. I don't wanna get addicted  *in denial!*,neutre,0.0,0.0,1.0,0.0
@anisafatima http://twitpic.com/7uidy - So jealous! I wish I was there ,negatif,-0.2947,0.196,0.529,0.275
missing Fatimaaaaa     FAAATZ IM GOING TO VISIT U ON AUGUST!!!! TO LIMA JUST TO SEE YOU!!,negatif,-0.5216,0.0,0.817,0.183
Haha Fatimahs Tryin To Make Me Jelouse Doesnt Seem To Be Working ,positif,0.4588,0.214,0.786,0.0
@TraceCyrus Hey Trace! My name's Fatima. Welcome to Philippines! Hope you'll like it here. ,positif,0.8395,0.45,0.55,0.0
@fatimadear i wish I could sleep too.. ,positif,0.4019,0.31,0.69,0.0
@ohboyitsfatima i was watching that allllll day today! but now i'm watching the finale of The Hills hahah ,neutre,0.0,0.0,1.0,0.0
"@no0otela @Fatima_Ali alaah ybarek feekom ,, thank you and wish you the best ",positif,0.8555,0.485,0.515,0.0
@iamfatimaa oh why thank you. i learned from the best ,positif,0.7717,0.456,0.544,0.0
Planning to head out to the Fatima Shrine for midday Mass. I overslept so I need to get moving if we're going to make it ,neutre,0.0,0.0,1.0,0.0
